 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,sigma_bin4 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_wwTop_SR_2 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.056935,0.0401141,0.0108392,0.0233037,-0.0799204,-0.376027,-0.0994812,-0.0246043,-0.010925,0.0539746,-0.0579901,
sigma_bin1,0.056935,1,0.0661049,0.0145431,0.0480938,-0.104061,-0.0110364,-0.17791,-0.236259,0.0381277,0.0284677,0.013559,
sigma_bin2,0.0401141,0.0661049,1,-0.0160971,0.0404195,-0.0392989,-0.0401595,-0.119667,-0.147743,0.0151424,0.0189569,-0.0324345,
sigma_bin3,0.0108392,0.0145431,-0.0160971,1,0.0477341,-2.73922e-05,-0.0247249,-0.118977,0.00749591,-0.138903,-0.0223083,0.00707804,
sigma_bin4,0.0233037,0.0480938,0.0404195,0.0477341,1,-0.00370656,-0.024798,-0.115968,-0.00612938,-0.130866,0.00415773,-0.0163083,
mu_Zjets,-0.0799204,-0.104061,-0.0392989,-2.73922e-05,-0.00370656,1,-0.0528516,-0.077656,-0.0344381,-0.00832408,-0.0295634,0.00989728,
mu_wwTop_SR_0,-0.376027,-0.0110364,-0.0401595,-0.0247249,-0.024798,-0.0528516,1,0.195757,0.307997,0.214127,0.112137,0.406694,
mu_ggf,-0.0994812,-0.17791,-0.119667,-0.118977,-0.115968,-0.077656,0.195757,1,0.110499,0.0433309,-0.0138875,0.0097686,
mu_wwTop_SR_1,-0.0246043,-0.236259,-0.147743,0.00749591,-0.00612938,-0.0344381,0.307997,0.110499,1,0.317215,0.0878424,0.455405,
mu_wwTop_SR_2,-0.010925,0.0381277,0.0151424,-0.138903,-0.130866,-0.00832408,0.214127,0.0433309,0.317215,1,0.0480325,0.393435,
mu_Zjets_CRGGF1,0.0539746,0.0284677,0.0189569,-0.0223083,0.00415773,-0.0295634,0.112137,-0.0138875,0.0878424,0.0480325,1,-0.175235,
mu_wwTop_CRGGF,-0.0579901,0.013559,-0.0324345,0.00707804,-0.0163083,0.00989728,0.406694,0.0097686,0.455405,0.393435,-0.175235,1,
