 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,sigma_bin4 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.129073,0.0937318,0.031821,0.0534988,-0.0526057,-0.210795,-0.232417,-0.0111014,0.0152579,-0.0393298,
sigma_bin1,0.129073,1,0.0905671,0.0220589,0.0143915,0.013267,-0.179403,-0.152813,0.00537457,0.00533488,-0.0507252,
sigma_bin2,0.0937318,0.0905671,1,0.0299788,0.00513701,-0.0186928,-0.154834,-0.0942255,0.0108918,0.0370336,-0.0516582,
sigma_bin3,0.031821,0.0220589,0.0299788,1,0.044417,-0.0405216,0.0709345,-0.0690915,-0.127784,0.0817671,0.041732,
sigma_bin4,0.0534988,0.0143915,0.00513701,0.044417,1,-0.109465,-0.0357602,-0.043608,-0.244923,0.025117,-0.0509196,
mu_Zjets,-0.0526057,0.013267,-0.0186928,-0.0405216,-0.109465,1,-0.0205775,-0.0781786,-0.0496031,-0.0190688,0.0196785,
mu_wwTop_SR_0,-0.210795,-0.179403,-0.154834,0.0709345,-0.0357602,-0.0205775,1,0.0295924,0.11056,0.0773995,0.509219,
mu_ggf,-0.232417,-0.152813,-0.0942255,-0.0690915,-0.043608,-0.0781786,0.0295924,1,0.0180558,-0.0312717,0.0320534,
mu_wwTop_SR_1,-0.0111014,0.00537457,0.0108918,-0.127784,-0.244923,-0.0496031,0.11056,0.0180558,1,0.0271905,0.106891,
mu_Zjets_CRGGF1,0.0152579,0.00533488,0.0370336,0.0817671,0.025117,-0.0190688,0.0773995,-0.0312717,0.0271905,1,-0.161676,
mu_wwTop_CRGGF,-0.0393298,-0.0507252,-0.0516582,0.041732,-0.0509196,0.0196785,0.509219,0.0320534,0.106891,-0.161676,1,
