 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.0590789,0.0472893,0.0364774,-0.0465036,-0.130488,-0.187248,-0.0166225,0.00595137,-0.0319473,
sigma_bin1,0.0590789,1,0.000413537,0.0528784,-0.0192233,-0.23216,-0.25505,-0.0735095,-0.0124901,-0.0673989,
sigma_bin2,0.0472893,0.000413537,1,-0.00925063,0.0105647,0.030024,-0.161735,-0.204539,0.00222127,0.00434732,
sigma_bin3,0.0364774,0.0528784,-0.00925063,1,-0.0121067,-0.0150511,-0.0903925,-0.0911401,-0.00782338,-0.0154267,
mu_Zjets,-0.0465036,-0.0192233,0.0105647,-0.0121067,1,-0.027483,-0.0676437,-0.0296815,-0.0178666,0.0271362,
mu_wwTop_SR_0,-0.130488,-0.23216,0.030024,-0.0150511,-0.027483,1,0.0882026,0.360377,0.0829788,0.526612,
mu_ggf,-0.187248,-0.25505,-0.161735,-0.0903925,-0.0676437,0.0882026,1,0.19505,-0.00100692,0.0233608,
mu_wwTop_SR_1,-0.0166225,-0.0735095,-0.204539,-0.0911401,-0.0296815,0.360377,0.19505,1,0.110726,0.431103,
mu_Zjets_CRGGF1,0.00595137,-0.0124901,0.00222127,-0.00782338,-0.0178666,0.0829788,-0.00100692,0.110726,1,-0.181601,
mu_wwTop_CRGGF,-0.0319473,-0.0673989,0.00434732,-0.0154267,0.0271362,0.526612,0.0233608,0.431103,-0.181601,1,
