 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.0532854,0.0434352,-0.00658125,-0.0307649,-0.174444,-0.114678,0.0413924,0.0142555,0.0179698,
sigma_bin1,0.0532854,1,0.0481651,0.0506601,0.0106535,-0.113456,-0.19205,-0.0248185,-0.00609377,-0.013069,
sigma_bin2,0.0434352,0.0481651,1,0.126919,-0.0411663,-0.0536969,-0.191549,-0.152238,-0.0055058,-0.0201225,
sigma_bin3,-0.00658125,0.0506601,0.126919,1,-0.0615235,-0.0640577,-0.165114,-0.269967,0.00151826,-0.0910321,
mu_Zjets,-0.0307649,0.0106535,-0.0411663,-0.0615235,1,-0.0117284,-0.0728606,-0.0335171,-0.0289326,0.0331609,
mu_wwTop_SR_0,-0.174444,-0.113456,-0.0536969,-0.0640577,-0.0117284,1,0.119337,0.432664,0.0804127,0.509071,
mu_ggf,-0.114678,-0.19205,-0.191549,-0.165114,-0.0728606,0.119337,1,0.153563,-0.000117547,-0.0134689,
mu_wwTop_SR_1,0.0413924,-0.0248185,-0.152238,-0.269967,-0.0335171,0.432664,0.153563,1,0.104194,0.502467,
mu_Zjets_CRGGF1,0.0142555,-0.00609377,-0.0055058,0.00151826,-0.0289326,0.0804127,-0.000117547,0.104194,1,-0.197998,
mu_wwTop_CRGGF,0.0179698,-0.013069,-0.0201225,-0.0910321,0.0331609,0.509071,-0.0134689,0.502467,-0.197998,1,
