 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,sigma_bin4 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_wwTop_SR_2 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.0319013,0.0563763,0.0146744,0.0549799,-0.111418,-0.239902,-0.185429,-0.028429,-0.0566592,0.00777092,-0.0540265,
sigma_bin1,0.0319013,1,-0.0737861,0.0324351,0.023216,-0.0159181,-0.205426,-0.130382,-0.0187724,-0.0465192,-0.0172672,-0.0291118,
sigma_bin2,0.0563763,-0.0737861,1,-0.0322394,0.0358362,-0.022967,0.0174541,-0.192887,-0.253731,-0.0325815,-0.0146238,-0.0211573,
sigma_bin3,0.0146744,0.0324351,-0.0322394,1,-0.0221997,0.00894532,0.0118514,-0.135516,0.00806323,-0.168123,0.0122807,-0.020595,
sigma_bin4,0.0549799,0.023216,0.0358362,-0.0221997,1,-0.0244429,-0.0166352,-0.0994058,-0.00786455,-0.114504,-0.0202837,-0.011948,
mu_Zjets,-0.111418,-0.0159181,-0.022967,0.00894532,-0.0244429,1,-0.0464735,-0.0550677,-0.0250119,-0.0349618,-0.0099679,0.00928919,
mu_wwTop_SR_0,-0.239902,-0.205426,0.0174541,0.0118514,-0.0166352,-0.0464735,1,0.0224434,0.305683,0.302287,0.0647187,0.445532,
mu_ggf,-0.185429,-0.130382,-0.192887,-0.135516,-0.0994058,-0.0550677,0.0224434,1,0.0876291,0.190978,-0.0178357,0.017677,
mu_wwTop_SR_1,-0.028429,-0.0187724,-0.253731,0.00806323,-0.00786455,-0.0250119,0.305683,0.0876291,1,0.323783,0.0754429,0.417836,
mu_wwTop_SR_2,-0.0566592,-0.0465192,-0.0325815,-0.168123,-0.114504,-0.0349618,0.302287,0.190978,0.323783,1,0.115744,0.446185,
mu_Zjets_CRGGF1,0.00777092,-0.0172672,-0.0146238,0.0122807,-0.0202837,-0.0099679,0.0647187,-0.0178357,0.0754429,0.115744,1,-0.168705,
mu_wwTop_CRGGF,-0.0540265,-0.0291118,-0.0211573,-0.020595,-0.011948,0.00928919,0.445532,0.017677,0.417836,0.446185,-0.168705,1,
