 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,0.0178686,0.02103,0.0457957,-0.0620738,-0.212555,-0.201286,-0.0467828,0.0200435,-0.079457,
sigma_bin1,0.0178686,1,-0.0873578,0.0287706,-0.0206827,-0.128484,-0.14609,-0.0123079,0.0207639,-0.0484545,
sigma_bin2,0.02103,-0.0873578,1,-0.046077,0.00619042,0.0306375,-0.0881571,-0.141228,0.0440928,0.0104884,
sigma_bin3,0.0457957,0.0287706,-0.046077,1,0.0183787,-0.0158946,-0.124273,-0.144854,-0.0206918,-0.0163457,
mu_Zjets,-0.0620738,-0.0206827,0.00619042,0.0183787,1,-0.0380259,-0.0714988,-0.0400295,-0.0194515,0.0160634,
mu_wwTop_SR_0,-0.212555,-0.128484,0.0306375,-0.0158946,-0.0380259,1,0.0883773,0.358108,0.0910565,0.56249,
mu_ggf,-0.201286,-0.14609,-0.0881571,-0.124273,-0.0714988,0.0883773,1,0.17112,-0.0243082,0.0316271,
mu_wwTop_SR_1,-0.0467828,-0.0123079,-0.141228,-0.144854,-0.0400295,0.358108,0.17112,1,0.0914663,0.403368,
mu_Zjets_CRGGF1,0.0200435,0.0207639,0.0440928,-0.0206918,-0.0194515,0.0910565,-0.0243082,0.0914663,1,-0.170806,
mu_wwTop_CRGGF,-0.079457,-0.0484545,0.0104884,-0.0163457,0.0160634,0.56249,0.0316271,0.403368,-0.170806,1,
