 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_wwTop_SR_2 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,-0.0978744,0.0210665,0.0102006,0.00583598,-0.131459,-0.0570176,0.0214043,0.0123546,0.000329824,-0.0281839,
sigma_bin1,-0.0978744,1,-0.0981492,0.0061389,-0.0179046,-0.00550969,-0.0382609,-0.0610764,0.00505312,0.00647785,-0.00623811,
sigma_bin2,0.0210665,-0.0981492,1,-0.0389143,-0.00367397,0.00086109,-0.0324358,-0.0535624,0.0102673,0.00389375,-0.0160823,
sigma_bin3,0.0102006,0.0061389,-0.0389143,1,-0.00852163,-0.00951531,-0.0127236,0.00808013,-0.0841595,0.00255304,-0.013012,
mu_Zjets,0.00583598,-0.0179046,-0.00367397,-0.00852163,1,-0.0257783,-0.00340118,-0.00902581,-0.00504928,0.000893269,-0.0282596,
mu_wwTop_SR_0,-0.131459,-0.00550969,0.00086109,-0.00951531,-0.0257783,1,-0.0371476,-0.00119452,-0.016731,0.0254204,0.0990635,
mu_ggf,-0.0570176,-0.0382609,-0.0324358,-0.0127236,-0.00340118,-0.0371476,1,0.0148757,0.00954378,-0.0870728,-0.0697604,
mu_wwTop_SR_1,0.0214043,-0.0610764,-0.0535624,0.00808013,-0.00902581,-0.00119452,0.0148757,1,0.0234825,0.0246238,-0.0139797,
mu_wwTop_SR_2,0.0123546,0.00505312,0.0102673,-0.0841595,-0.00504928,-0.016731,0.00954378,0.0234825,1,0.00571405,-0.024492,
mu_Zjets_CRGGF1,0.000329824,0.00647785,0.00389375,0.00255304,0.000893269,0.0254204,-0.0870728,0.0246238,0.00571405,1,-0.0572014,
mu_wwTop_CRGGF,-0.0281839,-0.00623811,-0.0160823,-0.013012,-0.0282596,0.0990635,-0.0697604,-0.0139797,-0.024492,-0.0572014,1,
